;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
78;2017_08_01_16:14:32;NaiveBayes;977.0;7705.0;415.0;3307.0;277.0;3110.0;197.0;138.0;91.0;57.23;0.67;0.06;0.58;0.67;0.62;0.94;0.33;0.96;0.94;0.95
79;2017_08_01_16:14:32;MultinomialNB;977.0;7705.0;415.0;3307.0;287.0;3080.0;227.0;128.0;90.46;56.41;0.69;0.07;0.56;0.69;0.62;0.93;0.31;0.96;0.93;0.94
80;2017_08_01_16:14:32;BernoulliNB;977.0;7705.0;415.0;3307.0;220.0;3173.0;134.0;195.0;91.16;52.32;0.53;0.04;0.62;0.53;0.57;0.96;0.47;0.94;0.96;0.95
81;2017_08_01_16:14:32;LinearSVC;977.0;7705.0;415.0;3307.0;218.0;3137.0;170.0;197.0;90.14;48.78;0.53;0.05;0.56;0.53;0.54;0.95;0.47;0.94;0.95;0.94
82;2017_08_01_16:14:32;LinearSVC;977.0;7705.0;415.0;3307.0;218.0;3137.0;170.0;197.0;90.14;48.78;0.53;0.05;0.56;0.53;0.54;0.95;0.47;0.94;0.95;0.94
83;2017_08_01_16:14:32;SGD;977.0;7705.0;415.0;3307.0;200.0;3167.0;140.0;215.0;90.46;47.73;0.48;0.04;0.59;0.48;0.53;0.96;0.52;0.94;0.96;0.95
84;2017_08_01_16:14:32;MLP;977.0;7705.0;415.0;3307.0;161.0;3248.0;59.0;254.0;91.59;46.58;0.39;0.02;0.73;0.39;0.51;0.98;0.61;0.93;0.98;0.95
85;2017_08_01_16:14:32;RandomForest;977.0;7705.0;415.0;3307.0;155.0;3208.0;99.0;260.0;90.35;41.37;0.37;0.03;0.61;0.37;0.46;0.97;0.63;0.93;0.97;0.95
86;2017_08_01_16:14:32;AdaBoost;977.0;7705.0;415.0;3307.0;111.0;3242.0;65.0;304.0;90.09;33.12;0.27;0.02;0.63;0.27;0.38;0.98;0.73;0.91;0.98;0.94
87;2017_08_01_16:14:32;Vote;977.0;7705.0;415.0;3307.0;193.0;3203.0;104.0;222.0;91.24;49.52;0.47;0.03;0.65;0.47;0.55;0.97;0.53;0.94;0.97;0.95
88;2017_08_01_15:16:11;LogisticRegression;966.0;7716.0;426.0;3296.0;184.0;3229.0;67.0;242.0;91.7;50.12;0.43;0.02;0.73;0.43;0.54;0.98;0.57;0.93;0.98;0.95
89;2017_08_01_15:16:11;NaiveBayes;966.0;7716.0;426.0;3296.0;283.0;3091.0;205.0;143.0;90.65;56.62;0.66;0.06;0.58;0.66;0.62;0.94;0.34;0.96;0.94;0.95
90;2017_08_01_15:16:11;MultinomialNB;966.0;7716.0;426.0;3296.0;295.0;3070.0;226.0;131.0;90.41;56.87;0.69;0.07;0.57;0.69;0.62;0.93;0.31;0.96;0.93;0.94
91;2017_08_01_15:16:11;BernoulliNB;966.0;7716.0;426.0;3296.0;228.0;3159.0;137.0;198.0;91.0;52.65;0.54;0.04;0.62;0.54;0.58;0.96;0.46;0.94;0.96;0.95
92;2017_08_01_15:16:11;LinearSVC;966.0;7716.0;426.0;3296.0;228.0;3140.0;156.0;198.0;90.49;50.98;0.54;0.05;0.59;0.54;0.56;0.95;0.46;0.94;0.95;0.94
93;2017_08_01_15:16:11;LinearSVC;966.0;7716.0;426.0;3296.0;228.0;3140.0;156.0;198.0;90.49;50.98;0.54;0.05;0.59;0.54;0.56;0.95;0.46;0.94;0.95;0.94
94;2017_08_01_15:16:11;SGD;966.0;7716.0;426.0;3296.0;228.0;3148.0;148.0;198.0;90.7;51.67;0.54;0.04;0.61;0.54;0.57;0.96;0.46;0.94;0.96;0.95
95;2017_08_01_15:16:11;MLP;966.0;7716.0;426.0;3296.0;148.0;3249.0;47.0;278.0;91.27;43.61;0.35;0.01;0.76;0.35;0.48;0.99;0.65;0.92;0.99;0.95
96;2017_08_01_15:16:11;RandomForest;966.0;7716.0;426.0;3296.0;168.0;3199.0;97.0;258.0;90.46;43.68;0.39;0.03;0.63;0.39;0.48;0.97;0.61;0.93;0.97;0.95
97;2017_08_01_15:16:11;AdaBoost;966.0;7716.0;426.0;3296.0;126.0;3222.0;74.0;300.0;89.95;35.54;0.3;0.02;0.63;0.3;0.41;0.98;0.7;0.91;0.98;0.94
98;2017_08_01_15:16:11;Vote;966.0;7716.0;426.0;3296.0;211.0;3201.0;95.0;215.0;91.67;53.17;0.5;0.03;0.69;0.5;0.58;0.97;0.5;0.94;0.97;0.95
99;2017_08_01_15:12:16;LogisticRegression;50.0;607.0;19.0;263.0;0.0;263.0;0.0;19.0;93.26;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
100;2017_08_01_15:12:16;NaiveBayes;50.0;607.0;19.0;263.0;0.0;262.0;1.0;19.0;92.91;-0.68;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
101;2017_08_01_15:12:16;MultinomialNB;50.0;607.0;19.0;263.0;9.0;220.0;43.0;10.0;81.21;17.18;0.47;0.16;0.17;0.47;0.25;0.84;0.53;0.96;0.84;0.9
102;2017_08_01_15:12:16;BernoulliNB;50.0;607.0;19.0;263.0;0.0;263.0;0.0;19.0;93.26;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
103;2017_08_01_15:12:16;LinearSVC;50.0;607.0;19.0;263.0;3.0;261.0;2.0;16.0;93.62;22.83;0.16;0.01;0.6;0.16;0.25;0.99;0.84;0.94;0.99;0.96
104;2017_08_01_15:12:16;LinearSVC;50.0;607.0;19.0;263.0;3.0;261.0;2.0;16.0;93.62;22.83;0.16;0.01;0.6;0.16;0.25;0.99;0.84;0.94;0.99;0.96
105;2017_08_01_15:12:16;SGD;50.0;607.0;19.0;263.0;4.0;262.0;1.0;15.0;94.33;31.41;0.21;0.0;0.8;0.21;0.33;1.0;0.79;0.95;1.0;0.97
106;2017_08_01_15:12:16;MLP;50.0;607.0;19.0;263.0;0.0;262.0;1.0;19.0;92.91;-0.68;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
107;2017_08_01_15:12:16;RandomForest;50.0;607.0;19.0;263.0;0.0;263.0;0.0;19.0;93.26;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
108;2017_08_01_15:12:16;AdaBoost;50.0;607.0;19.0;263.0;6.0;260.0;3.0;13.0;94.33;40.27;0.32;0.01;0.67;0.32;0.43;0.99;0.68;0.95;0.99;0.97
109;2017_08_01_15:12:16;Vote;50.0;607.0;19.0;263.0;0.0;262.0;1.0;19.0;92.91;-0.68;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.93;1.0;0.96
