time_stamp;Train_News;Train_Spam;Accuracy;Kappa;News_F1;AdaBoost;BernoulliNB;LinearSVC;LogisticRegression;MLP;MultinomialNB;NaiveBayes;RandomForest;SGD;SVC;Vote
2017_08_02_20:41:36;990.0;953.0;83.55;67.07;0.83;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_20:41:36;990.0;953.0;85.95;71.86;0.85;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;84.15;68.18;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_20:41:36;990.0;953.0;76.59;52.59;0.71;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_20:41:36;990.0;953.0;86.91;73.78;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_20:22:38;985.0;958.0;86.79;73.59;0.87;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;86.91;73.88;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;86.91;73.89;0.87;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;86.67;73.42;0.87;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;84.99;69.98;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;84.63;69.27;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:22:38;985.0;958.0;48.74;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:22:38;985.0;958.0;49.7;1.82;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:22:38;985.0;958.0;77.91;55.86;0.78;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:22:38;985.0;958.0;83.19;66.44;0.83;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_20:22:38;985.0;958.0;87.03;74.07;0.87;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;83.67;67.25;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_20:22:38;985.0;958.0;75.27;50.11;0.69;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_20:22:38;985.0;958.0;87.39;74.79;0.87;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_20:06:58;1005.0;938.0;85.11;70.01;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;86.19;72.48;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;86.31;72.73;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;86.07;72.28;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;81.75;63.36;0.8;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;81.99;63.82;0.8;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:06:58;1005.0;938.0;46.34;0.0;0.63;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:06:58;1005.0;938.0;47.54;2.04;0.64;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:06:58;1005.0;938.0;78.63;57.06;0.77;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_20:06:58;1005.0;938.0;81.75;63.52;0.81;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_20:06:58;1005.0;938.0;83.79;67.35;0.82;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;83.31;66.14;0.81;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_20:06:58;1005.0;938.0;77.31;53.4;0.71;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_20:06:58;1005.0;938.0;85.47;70.78;0.84;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_19:52:47;962.0;981.0;83.31;66.63;0.83;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;84.75;69.4;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;84.27;68.42;0.85;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;84.51;68.91;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;81.75;63.48;0.82;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;81.39;62.76;0.82;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:52:47;962.0;981.0;48.5;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:52:47;962.0;981.0;50.54;3.85;0.08;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:52:47;962.0;981.0;78.03;55.93;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:52:47;962.0;981.0;80.55;61.16;0.8;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_19:52:47;962.0;981.0;82.47;64.93;0.83;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;82.95;65.95;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_19:52:47;962.0;981.0;75.27;50.99;0.72;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_19:52:47;962.0;981.0;83.31;66.6;0.83;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_19:37:23;983.0;960.0;85.35;70.7;0.85;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;85.47;71.03;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;85.35;70.78;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;84.99;70.07;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;83.07;66.14;0.82;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;82.23;64.45;0.82;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:37:23;983.0;960.0;48.98;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:37:23;983.0;960.0;50.9;3.69;0.67;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:37:23;983.0;960.0;79.35;58.71;0.79;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_19:37:23;983.0;960.0;81.51;63.08;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_19:37:23;983.0;960.0;84.87;69.74;0.84;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;85.95;71.91;0.86;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_19:37:23;983.0;960.0;75.39;50.4;0.69;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_19:37:23;983.0;960.0;86.55;73.11;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_19:22:21;974.0;969.0;84.87;69.75;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_19:22:21;974.0;969.0;87.15;74.31;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_19:22:21;974.0;969.0;85.95;71.91;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_19:22:21;974.0;969.0;86.67;73.35;0.87;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_19:22:21;974.0;969.0;84.15;68.31;0.83;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_19:22:21;974.0;969.0;83.31;66.63;0.83;0;0;0;0;0;0;0;0;0;1;0
