;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866661103203360768;2017_06_08 15:48:46;[ 0.90307962];[2];[2];[2];[-2.613015];[1];[1];[2];[1];[1];[2]
0;866668601419456512;2017_06_08 15:48:47;[ 0.91005709];[2];[1];[2];[-633.84691071];[1];[1];[2];[1];[1];[2]
0;866668290290184192;2017_06_08 15:48:47;[ 1.02485265];[1];[1];[2];[-2729.49934508];[1];[1];[2];[1];[1];[2]
0;866630898715947009;2017_06_08 15:48:48;[ 0.97215495];[2];[1];[2];[-249.59642851];[1];[2];[2];[1];[2];[2]
0;869132139186573312;2017_06_08 15:48:49;[ 1.21235776];[2];[1];[2];[ 2.87899676];[2];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:48:50;[ 1.12041446];[2];[2];[2];[ 3.15943553];[1];[2];[2];[2];[1];[2]
0;869140128438136832;2017_06_08 15:48:50;[ 1.34047419];[2];[1];[2];[-23.59994388];[2];[1];[2];[1];[2];[2]
0;866661103203360768;2017_06_08 15:48:24;[ 0.88837414];[2];[2];[2];[ 1.94058679];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:48:25;[ 0.90239131];[1];[1];[2];[-54.0495842];[1];[2];[2];[1];[1];[1]
0;866668290290184192;2017_06_08 15:48:26;[ 1.00685083];[1];[1];[2];[-37.51082212];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:48:26;[ 0.95241517];[2];[1];[2];[-3.16189463];[1];[1];[2];[1];[2];[2]
0;869132139186573312;2017_06_08 15:48:28;[ 1.20501405];[2];[1];[2];[ 2.32367242];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:48:29;[ 1.11041978];[2];[2];[2];[ 2.47121207];[2];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:48:30;[ 1.33990099];[2];[1];[2];[-3.11061453];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:48:03;[ 0.86652624];[2];[2];[2];[ 0.9784145];[1];[2];[2];[1];[2];[1]
0;866668601419456512;2017_06_08 15:48:04;[ 0.87307668];[2];[1];[2];[-98.83580998];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:48:05;[ 0.98628516];[1];[1];[2];[ 598.94765883];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:48:05;[ 0.95053902];[2];[1];[2];[ 49.6961633];[1];[2];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:48:07;[ 1.20088422];[2];[2];[2];[ 3.3472482];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_06_08 15:48:08;[ 1.1091116];[2];[2];[2];[ 3.68007997];[1];[2];[2];[2];[2];[1]
0;869140128438136832;2017_06_08 15:48:09;[ 1.3314494];[2];[1];[2];[-22.05285164];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:47:42;[ 0.87312726];[2];[2];[2];[ 2.16628527];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:47:43;[ 0.88953123];[2];[1];[2];[-65.71311705];[1];[2];[2];[1];[1];[1]
0;866668290290184192;2017_06_08 15:47:44;[ 1.01040811];[1];[1];[2];[-377.7603897];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:47:45;[ 0.94075093];[2];[1];[2];[-31.96033618];[2];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:47:47;[ 1.19486284];[2];[1];[2];[ 2.51078067];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:47:47;[ 1.10970257];[2];[2];[2];[ 2.68812901];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:47:48;[ 1.32506807];[2];[1];[2];[ 2.3774022];[2];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:47:23;[ 0.88558852];[2];[2];[2];[ 4.10082174];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:47:23;[ 0.89732735];[2];[1];[2];[ 109.74105013];[1];[1];[2];[1];[1];[1]
